Id,Score,Episodes,Min_Duration,Year,Hentai,Prequel
335,7.29,26,24.0,2003,0.0,0.0
336,6.46,13,24.0,2004,0.0,0.0
337,6.24,24,11.0,2002,0.0,0.0
338,8.33,40,24.0,1979,0.0,0.0
339,8.03,13,23.0,1998,0.0,0.0
340,7.59,26,23.0,2004,0.0,0.0
341,7.25,25,23.0,2002,0.0,0.0
342,7.0,13,24.0,2005,0.0,0.0
343,7.0,25,24.0,2004,0.0,0.0
344,7.37,20,25.0,2003,0.0,0.0
345,7.67,12,25.0,2005,0.0,0.0
346,6.19,13,12.0,2004,0.0,0.0
347,6.66,22,24.0,1999,0.0,0.0
348,6.45,13,13.0,2003,0.0,0.0
349,6.19,13,24.0,2005,0.0,0.0
350,7.21,51,24.0,1999,0.0,0.0
351,7.34,49,24.0,2000,0.0,1.0
352,7.34,50,24.0,2001,0.0,1.0
353,7.59,51,24.0,2002,0.0,1.0
354,5.63,12,14.0,2005,0.0,0.0
355,7.51,24,24.0,2005,0.0,0.0
356,7.34,24,24.0,2006,0.0,1.0
357,6.59,4,25.0,2005,0.0,0.0
358,6.99,6,27.0,2005,0.0,0.0
359,6.3,2,30.0,2002,0.0,0.0
360,6.24,12,23.0,1999,0.0,0.0
361,5.93,3,30.0,2001,0.0,0.0
364,7.47,37,25.0,2005,0.0,0.0
365,6.54,1,55.0,1998,0.0,0.0
366,5.94,7,30.0,1997,0.0,1.0
368,6.65,6,30.0,2001,1.0,1.0
368,6.65,6,30.0,2001,0.0,0.0
369,7.17,12,24.0,2000,0.0,0.0
370,6.55,13,25.0,1997,0.0,1.0
371,7.64,1,81.0,1999,0.0,0.0
372,8.22,1,82.0,2000,0.0,1.0
373,6.7,6,28.0,1992,0.0,0.0
374,6.37,12,24.0,1998,0.0,0.0
375,6.53,12,23.0,1998,0.0,0.0
376,7.19,1,25.0,2005,0.0,0.0
377,6.73,6,25.0,2000,0.0,1.0
378,6.64,1,62.0,2002,0.0,0.0
379,7.5,26,24.0,1999,0.0,0.0
380,7.16,3,28.0,1996,0.0,1.0
381,7.27,6,33.0,1997,0.0,1.0
382,6.37,4,28.0,2002,0.0,0.0
383,7.03,24,13.0,2001,0.0,0.0
384,7.05,13,22.0,2004,0.0,0.0
385,6.65,26,23.0,2003,0.0,0.0
386,7.27,41,24.0,1995,0.0,0.0
387,7.99,13,24.0,2002,0.0,0.0
388,7.83,52,23.0,2005,0.0,0.0
389,7.42,6,30.0,2005,0.0,0.0
390,7.22,26,23.0,2005,0.0,0.0
391,6.82,4,30.0,2004,0.0,0.0
392,8.45,112,24.0,1992,0.0,0.0
393,7.08,1,97.0,2000,0.0,0.0
394,7.16,12,23.0,2003,0.0,1.0
395,7.08,13,23.0,2004,0.0,1.0
396,7.72,13,25.0,2000,0.0,1.0
397,7.84,10,25.0,2001,0.0,1.0
398,7.7,2,37.0,2005,0.0,1.0
400,7.87,24,25.0,1998,0.0,0.0
401,8.0,2,42.0,2001,0.0,0.0
403,6.62,12,14.0,2001,0.0,0.0
404,6.75,6,26.0,1992,0.0,0.0
405,6.91,1,48.0,2000,0.0,0.0
406,6.56,13,25.0,2005,0.0,0.0
407,7.76,45,25.0,2003,0.0,0.0
408,7.33,1,25.0,2005,0.0,0.0
411,7.28,26,24.0,2005,0.0,0.0
412,6.56,12,24.0,2005,0.0,0.0
413,2.23,1,19.0,2005,0.0,0.0
415,7.19,1,104.0,1999,0.0,0.0
416,7.98,1,93.0,1992,0.0,0.0
417,6.47,26,24.0,2004,0.0,0.0
418,7.26,1,74.0,1991,0.0,0.0
419,6.92,26,24.0,2002,0.0,0.0
421,6.66,13,23.0,2003,0.0,0.0
424,7.18,24,25.0,1985,0.0,0.0
425,6.44,2,26.0,2002,0.0,0.0
426,6.12,4,30.0,1994,0.0,0.0
427,7.94,51,23.0,2003,0.0,0.0
428,7.52,1,24.0,2004,0.0,0.0
429,7.88,1,50.0,2005,0.0,0.0
430,7.57,1,105.0,2005,0.0,0.0
431,8.67,1,119.0,2004,0.0,0.0
432,7.07,6,27.0,1994,0.0,0.0
433,7.56,1,90.0,2004,0.0,0.0
434,5.55,1,42.0,1989,0.0,0.0
435,7.46,20,24.0,1994,0.0,0.0
437,8.48,1,80.0,1998,0.0,0.0
438,6.54,3,30.0,2004,0.0,0.0
439,6.14,2,45.0,1991,0.0,0.0
441,7.6,1,90.0,1999,0.0,0.0
442,7.1,1,82.0,2004,0.0,0.0
443,7.32,1,21.0,2002,0.0,0.0
444,7.68,13,24.0,2004,0.0,1.0
445,6.21,13,22.0,2001,0.0,0.0
446,6.59,13,20.0,2002,0.0,1.0
447,6.73,25,23.0,1998,0.0,0.0
448,7.06,2,24.0,2005,0.0,1.0
449,7.54,1,87.0,2004,0.0,0.0
450,7.66,1,99.0,2002,0.0,0.0
451,7.8,1,98.0,2003,0.0,0.0
452,7.56,1,99.0,2001,0.0,0.0
454,6.16,1,26.0,2003,0.0,0.0
455,7.55,26,24.0,2004,0.0,0.0
456,6.94,26,25.0,2005,0.0,0.0
457,8.69,26,25.0,2005,0.0,0.0
458,6.24,3,27.0,1997,0.0,0.0
459,7.1,1,50.0,2000,0.0,0.0
460,7.17,1,55.0,2001,0.0,0.0
461,6.99,1,55.0,2002,0.0,0.0
462,7.59,1,95.0,2003,0.0,0.0
463,7.23,1,95.0,2004,0.0,0.0
464,7.7,1,91.0,2005,0.0,0.0
465,7.28,1,94.0,2006,0.0,0.0
466,6.76,1,28.0,1998,0.0,0.0
467,8.45,26,25.0,2002,0.0,0.0
468,7.82,1,99.0,2004,0.0,0.0
469,7.17,24,23.0,2005,0.0,0.0
470,6.34,13,24.0,2005,0.0,0.0
471,6.52,13,24.0,2005,0.0,0.0
472,6.6,13,25.0,1999,0.0,0.0
473,6.66,12,23.0,2005,0.0,0.0
474,7.72,4,39.0,1994,0.0,1.0
475,6.93,1,40.0,2005,0.0,0.0
476,7.34,12,24.0,2005,0.0,0.0
477,7.69,13,24.0,2005,0.0,0.0
478,7.11,26,24.0,2005,0.0,0.0
479,7.76,51,23.0,2005,0.0,0.0
481,7.47,224,23.0,2000,0.0,1.0
482,7.16,180,23.0,2004,0.0,1.0
483,7.35,24,23.0,2004,0.0,0.0
484,7.35,1,95.0,2001,0.0,0.0
485,7.29,26,5.0,2005,0.0,0.0
486,8.34,13,24.0,2003,0.0,1.0
487,6.68,13,23.0,2005,0.0,1.0
488,7.66,12,24.0,2005,0.0,0.0
489,7.4,12,26.0,2005,0.0,0.0
490,7.45,26,24.0,2005,0.0,0.0
492,6.86,1,90.0,2002,0.0,0.0
493,7.08,1,92.0,1996,0.0,0.0
495,6.71,26,25.0,1995,0.0,0.0
496,6.63,1,132.0,1985,0.0,0.0
497,6.58,13,24.0,2003,0.0,0.0
498,6.13,3,45.0,1987,0.0,0.0
499,6.17,1,79.0,1988,0.0,0.0
501,7.36,26,25.0,1973,0.0,1.0
502,6.83,1,50.0,1986,0.0,0.0
503,5.51,2,30.0,2005,0.0,0.0
504,6.59,1,96.0,1994,0.0,1.0
505,7.27,51,24.0,2005,0.0,0.0
507,6.96,2,26.0,1999,0.0,0.0
508,6.97,296,25.0,2000,0.0,0.0
509,6.81,13,25.0,2001,0.0,0.0
510,5.89,13,24.0,2004,0.0,0.0
511,6.19,13,25.0,2005,0.0,0.0
512,8.24,1,105.0,1989,0.0,0.0
513,8.31,1,125.0,1986,0.0,0.0
514,6.85,3,36.0,2004,0.0,0.0
515,6.06,1,80.0,1995,0.0,0.0
516,7.7,358,23.0,2004,0.0,1.0
517,7.75,2,25.0,2005,0.0,0.0
518,6.74,63,23.0,1982,0.0,0.0
519,7.34,26,23.0,2005,0.0,0.0
521,7.04,52,24.0,2003,0.0,0.0
522,7.54,1,109.0,2001,0.0,0.0
523,8.31,1,86.0,1988,0.0,0.0
524,7.04,1,25.0,2004,0.0,0.0
525,6.98,26,23.0,2004,0.0,0.0
526,7.17,6,30.0,1993,0.0,0.0
527,7.34,276,24.0,1997,0.0,0.0
528,7.63,1,85.0,1998,0.0,0.0
529,7.18,13,24.0,2002,0.0,0.0
530,7.68,46,24.0,1992,0.0,0.0
531,7.7,1,61.0,1993,0.0,0.0
532,7.85,38,24.0,1994,0.0,1.0
533,6.69,13,23.0,2004,0.0,0.0
534,7.76,26,22.0,1995,0.0,1.0
535,8.04,26,24.0,1996,0.0,1.0
536,7.3,1,66.0,1995,0.0,1.0
537,5.27,2,28.0,1998,0.0,0.0
538,6.87,26,23.0,1997,0.0,0.0
539,7.66,6,29.0,1992,0.0,0.0
540,7.66,6,33.0,1994,0.0,1.0
541,7.32,6,30.0,2003,0.0,1.0
543,7.89,1,102.0,2000,0.0,1.0
544,6.78,1,103.0,1989,0.0,0.0
546,6.0,13,12.0,2004,0.0,0.0
548,7.04,1,83.0,2003,0.0,0.0
550,7.21,27,24.0,1998,0.0,0.0
551,7.45,24,24.0,2001,0.0,1.0
552,7.79,54,24.0,1999,0.0,1.0
553,7.07,13,23.0,2000,0.0,0.0
554,6.79,24,15.0,1999,0.0,0.0
555,6.3,12,15.0,2001,0.0,1.0
556,6.11,3,15.0,2001,0.0,1.0
557,6.7,4,15.0,2000,0.0,0.0
558,8.25,26,25.0,2005,0.0,1.0
559,6.35,1,15.0,2003,0.0,0.0
560,7.4,1,51.0,2005,0.0,0.0
561,6.88,25,24.0,2000,0.0,0.0
563,6.68,12,23.0,1994,0.0,0.0
564,6.56,2,30.0,2001,0.0,0.0
565,7.35,1,126.0,2004,0.0,0.0
566,7.11,4,33.0,1996,0.0,0.0
567,7.53,26,24.0,1999,0.0,0.0
568,7.1,26,24.0,1998,0.0,0.0
569,7.87,26,23.0,1993,0.0,0.0
570,7.79,1,102.0,2000,0.0,0.0
572,8.4,1,117.0,1984,0.0,0.0
573,7.35,25,25.0,1996,0.0,0.0
576,6.38,13,24.0,2006,0.0,0.0
577,6.21,13,24.0,2006,0.0,0.0
578,8.51,1,88.0,1988,0.0,0.0
579,6.94,15,12.0,2003,0.0,0.0
580,6.84,10,4.0,2001,0.0,0.0
581,6.25,2,33.0,2000,0.0,0.0
582,7.71,48,8.0,1998,0.0,0.0
584,7.62,24,25.0,2005,0.0,0.0
585,8.23,1,111.0,1995,0.0,0.0
586,7.45,11,23.0,2006,0.0,0.0
587,7.52,6,24.0,2006,0.0,0.0
588,5.96,2,28.0,2005,0.0,0.0
589,8.04,21,23.0,1986,0.0,0.0
590,6.62,12,24.0,2006,0.0,0.0
591,6.5,12,24.0,2005,0.0,0.0
593,7.48,26,23.0,1999,0.0,0.0
594,6.76,1,40.0,2003,0.0,0.0
595,6.84,1,22.0,2001,0.0,1.0
596,7.0,1,6.0,2003,0.0,0.0
597,7.8,1,75.0,2002,0.0,0.0
598,6.99,13,23.0,2000,0.0,0.0
599,6.48,4,30.0,1994,0.0,0.0
600,4.93,12,5.0,2005,0.0,0.0
601,7.33,1,32.0,2001,0.0,0.0
603,7.0,49,24.0,2004,0.0,0.0
604,7.12,26,24.0,1998,0.0,0.0
605,6.71,26,23.0,1999,0.0,0.0
606,7.12,13,24.0,2000,0.0,0.0
607,6.95,39,24.0,2006,0.0,0.0
608,6.45,1,85.0,2001,0.0,0.0
609,7.1,2,30.0,2005,0.0,0.0
610,6.29,12,24.0,2003,0.0,0.0
612,6.53,13,25.0,2005,0.0,0.0
613,7.17,52,23.0,2004,0.0,0.0
614,6.34,13,24.0,2005,0.0,0.0
615,6.62,5,24.0,2002,0.0,0.0
617,7.61,1,94.0,1993,0.0,0.0
618,6.7,13,24.0,2003,0.0,1.0
620,7.06,13,24.0,2003,0.0,0.0
621,6.94,12,25.0,1998,0.0,0.0
622,6.56,2,30.0,2004,0.0,0.0
623,6.72,25,24.0,2002,0.0,0.0
624,6.04,12,14.0,2003,0.0,0.0
626,6.68,22,24.0,1998,0.0,0.0
627,8.27,26,25.0,2004,0.0,0.0
629,7.07,6,28.0,1996,0.0,0.0
631,7.13,1,23.0,2003,0.0,0.0
632,6.93,1,24.0,2001,0.0,0.0
633,7.32,13,24.0,1998,0.0,0.0
634,7.13,13,24.0,2004,0.0,0.0
635,6.67,13,25.0,1999,0.0,0.0
636,6.87,13,25.0,2004,0.0,1.0
637,6.63,16,8.0,1999,0.0,0.0
641,6.88,1,23.0,2005,0.0,0.0
642,6.9,1,25.0,2004,0.0,0.0
644,7.7,2,22.0,2005,0.0,0.0
644,7.7,2,22.0,2005,0.0,1.0
645,7.98,1,77.0,2004,0.0,0.0
648,6.19,13,12.0,2004,0.0,0.0
649,6.8,12,23.0,2004,0.0,0.0
650,7.27,3,29.0,1995,0.0,0.0
651,6.13,1,31.0,2004,0.0,1.0
652,7.18,9,24.0,2002,0.0,1.0
653,7.31,26,24.0,2002,0.0,1.0
655,7.22,13,24.0,2004,0.0,1.0
656,7.33,2,24.0,2005,0.0,0.0
658,7.94,26,23.0,2005,0.0,0.0
659,7.03,1,6.0,2001,0.0,0.0
664,7.29,1,55.0,2005,0.0,0.0
665,7.18,7,30.0,2000,0.0,0.0
666,7.35,6,35.0,1993,0.0,1.0
667,6.67,12,24.0,2006,0.0,0.0
668,5.81,13,25.0,2005,0.0,0.0
669,6.12,3,25.0,2004,0.0,0.0
670,6.83,12,24.0,2005,0.0,0.0
