Id,Score,Episodes,Min_Duration,Year
756,5.96,1,21.0,2005
757,6.71,1,97.0,2000
758,7.04,1,120.0,2003
759,8.29,1,92.0,2003
760,7.07,1,92.0,2005
761,6.52,1,17.0,2003
762,7.15,1,29.0,2004
763,7.38,67,25.0,1999
764,7.34,26,24.0,2001
766,6.05,1,24.0,2004
767,6.09,1,46.0,1991
769,6.37,4,27.0,1996
770,7.37,1,23.0,2005
771,6.69,13,24.0,2006
776,6.61,12,25.0,2003
777,8.4,10,50.0,2006
779,7.87,1,94.0,1997
780,7.9,1,99.0,1998
781,8.04,1,100.0,1999
782,6.66,25,25.0,1998
783,6.47,13,23.0,2000
785,7.14,2,48.0,1991
788,4.39,2,30.0,2003
789,6.93,6,25.0,2006
790,7.92,23,25.0,2006
791,6.14,1,120.0,1986
792,7.42,1,60.0,1992
793,7.96,1,60.0,2005
795,7.79,39,25.0,1991
797,6.69,3,14.0,2001
798,7.42,12,23.0,2006
799,6.48,13,24.0,2001
800,6.85,13,23.0,2000
801,8.54,26,25.0,2004
807,7.33,1,35.0,2005
808,6.54,3,28.0,1996
811,6.91,6,27.0,2005
812,6.83,13,26.0,2001
813,8.16,291,24.0,1989
814,7.49,1,30.0,2005
815,7.36,1,65.0,2005
816,5.58,6,26.0,1999
817,6.44,13,25.0,2006
818,6.21,12,24.0,1997
819,6.32,1,49.0,2005
820,9.07,110,26.0,1988
821,7.57,1,52.0,2002
822,7.33,2,27.0,2001
824,5.87,6,17.0,2003
825,6.32,4,10.0,2005
827,5.84,2,29.0,2004
830,6.68,2,30.0,2004
831,7.08,24,24.0,2001
833,6.4,13,23.0,2002
834,6.98,1,33.0,2006
835,6.26,13,25.0,2002
836,6.43,26,23.0,2001
837,7.24,4,29.0,2006
838,6.07,13,24.0,2003
840,6.59,12,24.0,2003
841,6.05,16,6.0,1999
842,7.16,10,30.0,1992
844,7.29,1,84.0,2004
845,7.32,51,24.0,2006
846,8.03,26,24.0,2006
849,7.88,14,23.0,2006
850,6.55,13,26.0,2006
851,8.07,10,43.0,1992
852,7.47,50,25.0,1995
853,8.2,26,23.0,2006
854,6.13,12,25.0,2006
855,7.31,26,25.0,2006
856,7.67,26,23.0,2006
857,7.53,25,24.0,2006
858,5.92,24,25.0,2005
859,6.95,48,23.0,2006
860,6.76,12,24.0,2006
861,8.01,24,24.0,2006
863,6.58,12,24.0,2006
864,6.36,2,7.0,2004
865,6.7,48,24.0,1987
866,7.21,1,33.0,2001
867,7.33,1,60.0,1998
868,7.34,1,59.0,1997
869,7.33,1,60.0,1996
870,6.87,2,27.0,1993
872,7.09,40,9.0,2004
873,6.91,26,24.0,2006
874,7.62,51,25.0,2001
875,7.79,1,104.0,2004
876,7.07,29,24.0,1995
877,8.46,47,23.0,2006
878,7.35,26,23.0,2006
879,7.46,26,24.0,2006
880,7.58,22,24.0,2006
881,6.0,1,27.0,2002
882,6.82,1,24.0,1993
883,7.21,1,94.0,1994
884,6.88,1,85.0,2004
885,7.69,1,71.0,1985
886,6.71,12,24.0,2006
888,6.4,12,24.0,2000
889,8.05,12,24.0,2006
890,7.82,49,25.0,1997
891,6.79,1,45.0,1987
892,6.88,1,45.0,1988
893,7.15,1,74.0,1996
894,6.7,1,41.0,1989
895,6.65,1,60.0,1990
896,6.73,1,61.0,1990
897,6.6,1,51.0,1991
898,7.05,1,46.0,1991
899,6.83,1,45.0,1992
900,6.89,1,45.0,1992
901,7.34,1,70.0,1993
902,7.12,1,50.0,1993
903,6.81,1,50.0,1994
904,5.9,1,50.0,1994
905,7.55,1,55.0,1995
906,7.34,1,51.0,1995
907,7.02,12,24.0,2006
908,7.35,3,7.0,2006
909,6.38,13,23.0,2001
910,6.34,13,24.0,2006
911,7.1,1,84.0,2005
912,7.04,55,24.0,1995
913,6.6,25,25.0,2005
914,7.56,26,24.0,1995
915,7.23,26,24.0,2005
916,6.58,13,24.0,2006
917,7.08,1,46.0,1989
918,8.96,201,24.0,2006
919,6.65,13,24.0,2006
920,6.44,1,27.0,2003
921,6.65,2,24.0,2004
927,6.19,51,24.0,2004
928,6.63,52,24.0,2005
929,7.05,49,24.0,1983
930,6.98,39,25.0,1980
